Delivery_Distance_km,Weather_Condition,Traffic_Level,Order_Size,Delivery_Partner_Rating,Restaurant_Preparation_Time_min,Peak_Hour,Day_of_Week,Order_Value_INR,Delivery_Status
17.2,Cloudy,Low,Large,2.0,20.9,Yes,Thursday,1117.41,On Time
5.0,Cloudy,Medium,Small,4.7,20.6,Yes,Monday,157.09,On Time
20.9,Sunny,High,Large,2.8,7.1,No,Wednesday,2096.32,Delayed
22.9,Cloudy,Low,Small,3.5,33.0,No,Thursday,1404.42,On Time
10.4,Stormy,Medium,Medium,3.5,17.3,No,Saturday,1349.44,Delayed
8.4,Sunny,High,Medium,2.4,36.1,Yes,Saturday,1383.3,Delayed
14.8,Sunny,Medium,Small,3.0,8.2,No,Thursday,1671.82,On Time
24.3,Sunny,Medium,Medium,1.7,32.7,Yes,Wednesday,1756.92,Delayed
18.4,Sunny,Medium,Medium,4.8,27.0,No,Saturday,382.07,On Time
20.0,Cloudy,Low,Small,3.8,14.5,Yes,Sunday,2424.8,On Time
19.4,Rainy,Medium,Medium,1.5,30.7,No,Monday,146.35,Delayed
24.0,Sunny,Low,Medium,4.8,42.8,Yes,Tuesday,321.98,On Time
20.6,Rainy,Medium,Small,5.0,33.1,No,Thursday,1543.62,Delayed
7.4,Sunny,Medium,Medium,2.7,25.0,Yes,Monday,1473.59,On Time
6.6,Sunny,Low,Large,3.6,42.8,No,Saturday,785.5,On Time
6.8,Sunny,Low,Small,4.7,14.9,No,Tuesday,2479.82,On Time
6.1,Cloudy,Medium,Medium,2.3,31.7,Yes,Thursday,100.92,Delayed
6.0,Sunny,Low,Small,4.5,38.2,No,Sunday,1290.51,On Time
23.4,Rainy,Medium,Medium,4.1,17.8,Yes,Saturday,738.23,On Time
23.8,Sunny,High,Large,4.1,13.8,No,Monday,170.44,On Time
3.2,Cloudy,High,Small,1.5,30.7,Yes,Sunday,2134.89,Delayed
2.5,Stormy,Low,Medium,1.7,30.6,No,Friday,1438.69,Delayed
21.6,Cloudy,High,Small,3.7,32.1,No,Sunday,553.72,On Time
14.5,Rainy,Medium,Medium,2.1,36.6,No,Sunday,1083.13,Delayed
6.1,Sunny,Medium,Small,3.0,5.7,No,Sunday,660.26,On Time
12.1,Sunny,Medium,Small,4.2,8.2,No,Wednesday,1639.02,On Time
2.8,Sunny,Medium,Medium,1.9,37.0,Yes,Tuesday,1468.2,On Time
24.6,Sunny,Low,Medium,4.5,17.9,No,Friday,1700.13,On Time
4.4,Sunny,High,Small,3.6,21.7,No,Sunday,722.68,On Time
20.4,Sunny,High,Medium,1.7,43.3,No,Saturday,224.17,Delayed
24.0,Cloudy,Low,Medium,2.7,16.1,No,Saturday,1706.09,Delayed
18.1,Sunny,Medium,Medium,4.5,16.1,No,Monday,802.45,On Time
3.1,Sunny,Medium,Small,2.9,23.3,Yes,Thursday,1672.78,On Time
15.2,Sunny,Low,Small,1.7,16.9,Yes,Monday,651.94,Delayed
4.1,Sunny,High,Small,1.0,41.0,No,Monday,230.86,Delayed
21.8,Rainy,High,Small,2.6,28.9,Yes,Sunday,547.55,Delayed
17.1,Sunny,High,Medium,1.2,5.8,No,Tuesday,941.31,Delayed
23.6,Sunny,Medium,Small,1.5,13.2,No,Sunday,1047.59,Delayed
4.5,Sunny,Low,Medium,2.9,35.2,No,Sunday,866.9,On Time
11.9,Sunny,Low,Medium,1.4,39.0,No,Tuesday,2365.64,Delayed
14.0,Sunny,Low,Small,4.6,37.9,No,Saturday,1857.71,On Time
3.6,Cloudy,High,Small,3.9,37.7,No,Wednesday,1776.35,Delayed
17.2,Rainy,Medium,Small,2.4,37.3,No,Sunday,1722.73,Delayed
14.6,Sunny,High,Medium,1.9,19.4,No,Saturday,950.86,Delayed
9.4,Stormy,Low,Medium,3.4,41.1,Yes,Friday,928.53,Delayed
10.9,Sunny,Medium,Medium,1.7,7.7,No,Sunday,1794.46,On Time
20.1,Cloudy,High,Medium,5.0,30.0,No,Thursday,2078.22,On Time
9.6,Rainy,Medium,Medium,2.3,32.4,Yes,Wednesday,527.25,Delayed
24.3,Sunny,Low,Medium,1.6,12.3,No,Monday,294.17,On Time
23.0,Sunny,High,Small,1.6,29.9,No,Wednesday,579.99,Delayed
2.9,Rainy,Medium,Medium,3.9,42.6,No,Monday,2014.05,Delayed
21.5,Sunny,Low,Small,3.9,25.7,No,Friday,1682.3,On Time
17.2,Stormy,Medium,Large,4.7,25.3,No,Sunday,1469.1,Delayed
2.3,Cloudy,Low,Large,4.5,6.7,Yes,Monday,592.59,On Time
23.9,Cloudy,Medium,Small,1.2,22.2,No,Monday,2153.23,On Time
21.0,Sunny,Medium,Small,2.6,10.0,No,Friday,126.44,Delayed
21.0,Sunny,Medium,Small,2.0,22.4,Yes,Sunday,1008.33,Delayed
23.0,Sunny,Low,Small,1.7,17.4,Yes,Friday,2279.73,On Time
23.1,Sunny,High,Small,2.3,8.8,No,Wednesday,2234.83,On Time
6.3,Cloudy,Medium,Small,1.0,8.6,Yes,Saturday,1158.56,On Time
23.5,Cloudy,Low,Large,4.8,14.8,Yes,Sunday,2259.8,Delayed
2.2,Cloudy,Low,Small,4.8,10.7,Yes,Wednesday,1963.18,On Time
22.2,Sunny,Medium,Medium,3.4,23.7,No,Sunday,1875.18,On Time
12.0,Cloudy,High,Small,2.7,38.6,No,Tuesday,458.22,On Time
20.9,Sunny,Low,Small,1.3,10.4,Yes,Friday,641.25,Delayed
7.6,Sunny,Low,Medium,1.4,8.1,No,Monday,183.05,On Time
19.1,Cloudy,High,Small,2.9,27.9,No,Saturday,1552.11,Delayed
20.3,Sunny,Medium,Large,4.3,18.7,Yes,Friday,1195.87,On Time
2.9,Rainy,Low,Small,4.4,14.0,No,Friday,2164.87,On Time
22.9,Cloudy,High,Small,1.9,7.4,No,Saturday,706.7,On Time
20.6,Sunny,High,Small,3.9,35.5,No,Wednesday,1821.81,Delayed
15.3,Cloudy,Low,Medium,4.4,12.8,No,Monday,1461.39,On Time
18.0,Cloudy,Low,Medium,4.0,33.7,No,Wednesday,1126.47,On Time
9.3,Rainy,High,Small,4.8,28.2,No,Tuesday,802.81,On Time
12.3,Sunny,Low,Medium,3.9,27.2,Yes,Saturday,2107.67,Delayed
4.5,Cloudy,Medium,Medium,3.8,9.4,No,Wednesday,1763.04,On Time
13.0,Sunny,Low,Medium,3.4,35.6,Yes,Sunday,2397.04,On Time
19.8,Sunny,Low,Small,3.0,11.5,No,Friday,241.43,On Time
14.4,Sunny,Low,Small,1.2,19.2,No,Sunday,2285.16,Delayed
4.2,Cloudy,Low,Large,4.0,41.5,Yes,Thursday,1659.32,On Time
20.9,Cloudy,Medium,Large,2.4,10.7,Yes,Monday,232.56,On Time
18.7,Sunny,High,Medium,2.4,40.8,Yes,Thursday,117.17,On Time
1.9,Sunny,Low,Small,1.4,16.7,No,Friday,631.31,On Time
20.3,Sunny,Low,Large,3.3,5.7,Yes,Wednesday,1323.65,On Time
21.8,Cloudy,Medium,Small,1.7,13.8,No,Friday,508.96,Delayed
13.3,Sunny,High,Small,4.2,11.5,Yes,Friday,2075.81,Delayed
10.1,Cloudy,Low,Medium,1.9,17.4,Yes,Wednesday,2041.29,On Time
3.0,Sunny,Low,Small,3.1,28.8,No,Monday,2052.27,On Time
20.9,Stormy,Medium,Large,3.0,19.9,No,Thursday,1919.0,Delayed
1.1,Cloudy,Low,Small,1.3,24.2,No,Thursday,816.36,On Time
9.2,Sunny,High,Small,1.7,25.3,Yes,Sunday,861.05,Delayed
8.9,Sunny,High,Medium,2.1,17.4,No,Tuesday,1941.6,On Time
22.9,Cloudy,Low,Small,1.5,28.4,No,Tuesday,626.87,Delayed
11.8,Sunny,Medium,Small,4.8,25.6,No,Thursday,1448.19,On Time
22.3,Sunny,High,Medium,2.7,7.9,No,Monday,2237.69,Delayed
3.1,Cloudy,Low,Small,2.8,23.3,No,Friday,460.24,On Time
21.3,Sunny,Medium,Medium,3.5,41.7,Yes,Thursday,1295.84,On Time
15.7,Sunny,Medium,Large,3.4,42.2,No,Friday,2016.21,On Time
13.9,Sunny,Low,Large,4.9,24.4,No,Sunday,1753.1,On Time
8.3,Cloudy,Medium,Small,1.2,10.2,No,Wednesday,308.29,On Time
12.8,Sunny,Low,Large,4.3,42.0,No,Sunday,1966.74,On Time
7.6,Sunny,Low,Medium,3.9,23.0,No,Sunday,1775.23,On Time
11.9,Sunny,Medium,Medium,2.7,27.3,Yes,Saturday,1679.52,Delayed
19.5,Sunny,Low,Medium,1.5,10.3,No,Friday,734.51,On Time
16.0,Sunny,Medium,Large,2.5,43.7,No,Thursday,948.96,On Time
17.3,Sunny,Medium,Medium,4.6,18.7,No,Friday,2481.41,On Time
22.4,Sunny,Low,Large,2.8,8.4,No,Friday,198.86,On Time
2.3,Sunny,High,Medium,1.5,12.0,No,Thursday,1267.27,On Time
5.8,Sunny,Low,Small,1.9,7.0,No,Monday,2285.72,On Time
18.4,Rainy,Low,Medium,2.9,14.2,No,Friday,2341.68,Delayed
10.8,Sunny,High,Medium,1.4,42.1,Yes,Friday,1319.24,On Time
16.6,Cloudy,Low,Large,3.7,37.3,Yes,Monday,836.24,On Time
22.5,Rainy,Low,Small,4.8,11.8,No,Sunday,1327.27,On Time
18.7,Sunny,Medium,Medium,1.4,37.5,No,Friday,1978.68,Delayed
23.4,Cloudy,Medium,Small,3.9,9.0,No,Sunday,2153.96,On Time
4.6,Rainy,Low,Small,2.8,27.5,Yes,Monday,1600.55,On Time
19.2,Rainy,Medium,Medium,2.7,21.0,Yes,Saturday,220.2,Delayed
17.9,Sunny,Low,Small,4.1,34.2,No,Tuesday,1587.79,On Time
1.2,Sunny,Medium,Medium,4.6,43.0,No,Thursday,2021.15,On Time
2.0,Stormy,Low,Small,3.4,5.2,Yes,Saturday,1644.11,Delayed
1.8,Cloudy,Medium,Small,3.8,13.0,No,Friday,2121.82,On Time
13.7,Rainy,Medium,Medium,3.1,36.2,No,Sunday,2265.71,Delayed
19.6,Cloudy,Medium,Medium,3.3,24.0,Yes,Monday,2277.64,On Time
10.7,Cloudy,Medium,Medium,2.0,15.9,No,Friday,1949.21,Delayed
1.1,Sunny,Medium,Large,1.6,44.1,No,Sunday,1321.35,On Time
5.2,Sunny,Low,Medium,3.3,25.0,Yes,Friday,909.84,On Time
23.8,Cloudy,Low,Medium,1.4,42.0,Yes,Sunday,1308.01,Delayed
6.9,Rainy,Low,Large,3.7,38.4,Yes,Friday,626.72,Delayed
21.5,Sunny,Medium,Small,4.3,41.3,No,Sunday,2499.7,Delayed
9.9,Rainy,Low,Small,4.6,5.3,Yes,Sunday,2254.11,On Time
13.5,Sunny,High,Small,3.3,36.3,No,Monday,1598.26,On Time
12.8,Sunny,High,Small,2.3,31.4,No,Monday,2272.7,On Time
4.2,Cloudy,High,Medium,2.5,40.1,No,Friday,680.89,On Time
9.8,Rainy,Medium,Large,1.0,13.1,No,Friday,2005.44,Delayed
25.0,Sunny,Medium,Small,2.5,41.4,Yes,Friday,1848.95,Delayed
14.5,Cloudy,Medium,Small,3.8,6.4,No,Wednesday,1549.98,On Time
12.2,Sunny,Medium,Small,2.6,25.1,No,Saturday,772.66,On Time
14.2,Cloudy,Medium,Large,5.0,35.5,Yes,Thursday,1952.41,On Time
7.3,Cloudy,Medium,Medium,1.6,39.2,No,Wednesday,1384.03,On Time
14.6,Cloudy,High,Small,3.4,39.4,Yes,Monday,2017.09,Delayed
18.5,Rainy,Medium,Medium,1.1,34.5,Yes,Wednesday,1899.74,Delayed
3.5,Stormy,Medium,Small,4.2,26.8,No,Monday,2386.44,Delayed
7.7,Sunny,High,Large,3.7,21.0,Yes,Friday,2452.72,On Time
6.0,Sunny,High,Medium,2.1,5.6,No,Thursday,1427.63,Delayed
18.9,Sunny,High,Small,4.8,19.2,Yes,Saturday,281.74,On Time
23.5,Sunny,Medium,Small,4.7,12.0,No,Saturday,1348.42,On Time
11.2,Cloudy,Medium,Small,4.1,35.7,No,Monday,2198.7,On Time
16.2,Sunny,Low,Small,2.9,33.8,No,Friday,1031.33,Delayed
1.7,Sunny,Medium,Small,2.8,34.9,Yes,Thursday,1820.57,Delayed
4.2,Sunny,Medium,Large,4.9,31.4,Yes,Sunday,2479.99,On Time
10.2,Sunny,Medium,Small,3.5,17.2,No,Friday,1591.26,On Time
16.9,Rainy,High,Medium,3.0,14.5,No,Tuesday,1162.99,On Time
16.4,Sunny,Medium,Small,2.5,27.0,No,Wednesday,634.99,On Time
5.6,Rainy,Low,Small,4.4,22.8,No,Thursday,453.44,On Time
4.2,Cloudy,High,Large,1.3,10.0,No,Wednesday,322.46,On Time
23.5,Sunny,Medium,Large,2.6,31.3,No,Wednesday,1358.66,Delayed
9.5,Sunny,Medium,Small,4.7,31.1,No,Friday,1008.23,On Time
12.1,Sunny,Medium,Medium,4.8,28.7,No,Wednesday,848.22,On Time
3.3,Rainy,Low,Small,4.2,42.6,No,Saturday,623.35,Delayed
22.8,Cloudy,High,Medium,2.5,13.0,No,Wednesday,255.16,Delayed
17.0,Sunny,Medium,Small,1.6,15.9,Yes,Saturday,1249.53,Delayed
13.2,Sunny,Medium,Small,3.4,16.6,Yes,Friday,2209.48,On Time
11.4,Rainy,Medium,Medium,4.4,6.1,No,Thursday,1660.8,On Time
2.2,Sunny,Medium,Medium,2.8,33.8,Yes,Tuesday,1380.61,On Time
6.1,Sunny,Medium,Small,4.1,41.7,No,Sunday,1719.45,On Time
21.5,Cloudy,Medium,Large,3.9,39.8,No,Tuesday,1508.36,Delayed
15.9,Sunny,High,Medium,4.7,18.6,No,Saturday,2271.74,Delayed
5.7,Sunny,Low,Medium,2.3,17.1,No,Tuesday,1415.8,On Time
5.5,Sunny,High,Medium,2.6,9.3,Yes,Thursday,1130.79,Delayed
9.4,Rainy,Medium,Small,4.3,21.4,No,Monday,167.08,On Time
15.8,Sunny,Medium,Small,3.8,30.6,Yes,Thursday,1376.89,On Time
14.0,Sunny,Medium,Large,3.0,28.9,No,Sunday,1065.55,On Time
13.6,Cloudy,Low,Small,3.1,33.4,No,Sunday,1230.48,On Time
21.9,Rainy,Medium,Large,3.0,39.8,No,Wednesday,1582.41,Delayed
21.7,Sunny,Medium,Medium,1.7,36.6,Yes,Saturday,984.48,Delayed
21.3,Sunny,Medium,Medium,2.5,33.3,No,Monday,1804.27,On Time
17.9,Sunny,Low,Small,2.6,39.7,No,Tuesday,1004.33,On Time
10.4,Cloudy,Low,Small,3.8,10.4,Yes,Thursday,1824.45,On Time
7.5,Sunny,Medium,Small,4.7,36.8,No,Saturday,888.76,On Time
23.9,Rainy,Low,Large,4.7,40.8,Yes,Thursday,1925.6,On Time
2.1,Sunny,Medium,Large,4.3,38.9,Yes,Wednesday,459.75,On Time
15.8,Cloudy,Low,Small,3.7,33.0,No,Tuesday,2463.42,On Time
21.3,Sunny,Low,Small,4.2,42.5,No,Friday,2247.06,On Time
7.5,Cloudy,Low,Medium,3.7,39.3,No,Tuesday,1362.1,On Time
24.5,Stormy,Low,Small,4.7,42.0,Yes,Sunday,382.92,Delayed
22.3,Cloudy,Low,Small,2.4,43.7,Yes,Friday,1461.24,Delayed
5.8,Cloudy,Medium,Small,1.0,14.4,No,Thursday,2493.23,On Time
7.5,Sunny,Low,Medium,4.1,24.8,No,Wednesday,2280.03,On Time
22.5,Cloudy,Low,Small,1.6,30.7,Yes,Saturday,1278.59,Delayed
3.6,Sunny,Medium,Medium,2.9,42.5,No,Saturday,2319.78,On Time
5.5,Sunny,Medium,Large,2.5,27.2,Yes,Friday,1760.33,Delayed
15.6,Cloudy,Low,Small,3.8,8.8,Yes,Saturday,496.03,On Time
4.5,Cloudy,Low,Small,2.5,41.4,No,Sunday,2039.06,On Time
14.7,Rainy,Medium,Medium,1.8,10.4,Yes,Monday,2464.63,Delayed
14.8,Sunny,Medium,Large,3.5,17.6,Yes,Sunday,130.59,Delayed
15.3,Rainy,Low,Small,1.9,25.0,Yes,Monday,2323.54,Delayed
7.0,Cloudy,Medium,Small,2.9,37.2,No,Sunday,1907.3,On Time
20.7,Sunny,Medium,Small,2.3,33.4,No,Wednesday,1487.39,On Time
24.3,Cloudy,Medium,Medium,4.1,32.6,Yes,Monday,1733.83,Delayed
7.7,Cloudy,High,Medium,2.5,18.4,No,Wednesday,2266.9,On Time
21.8,Sunny,Low,Small,2.7,14.1,Yes,Monday,1312.87,On Time
8.0,Sunny,High,Small,1.4,24.3,No,Saturday,1369.09,On Time
9.4,Rainy,Low,Medium,2.7,21.3,Yes,Monday,110.59,On Time
19.9,Sunny,Medium,Medium,3.6,26.4,No,Sunday,2366.44,Delayed
4.3,Rainy,Low,Small,4.2,13.7,No,Wednesday,427.54,On Time
2.5,Sunny,Medium,Small,1.5,12.2,No,Friday,2392.84,On Time
10.3,Cloudy,High,Medium,4.4,25.6,No,Saturday,2348.68,On Time
4.1,Sunny,Medium,Small,4.3,35.0,Yes,Sunday,1483.94,On Time
2.9,Rainy,Medium,Small,1.2,31.7,No,Wednesday,1096.64,Delayed
15.1,Cloudy,Medium,Medium,3.9,17.9,No,Saturday,299.3,On Time
5.4,Sunny,High,Medium,2.4,26.1,Yes,Monday,2008.82,Delayed
8.2,Cloudy,Medium,Large,3.9,19.4,No,Saturday,1935.13,Delayed
18.5,Cloudy,Medium,Small,1.3,36.5,Yes,Monday,2294.41,Delayed
3.2,Sunny,Low,Small,4.1,34.6,No,Saturday,1815.87,On Time
24.9,Cloudy,Low,Small,2.2,37.3,Yes,Tuesday,1893.9,Delayed
8.4,Sunny,Low,Medium,3.3,43.3,Yes,Friday,803.31,On Time
14.1,Cloudy,Low,Large,3.0,8.1,No,Sunday,594.54,On Time
20.0,Sunny,Low,Large,4.6,16.1,No,Wednesday,1152.63,On Time
6.7,Rainy,Medium,Medium,1.5,42.2,No,Tuesday,1610.25,Delayed
9.2,Cloudy,High,Medium,4.2,28.5,No,Wednesday,2228.51,On Time
6.0,Stormy,Medium,Medium,3.3,25.6,Yes,Friday,2131.89,Delayed
10.1,Sunny,Low,Small,2.9,27.2,No,Monday,446.42,On Time
18.6,Sunny,High,Small,3.1,21.6,No,Wednesday,607.17,Delayed
18.1,Sunny,High,Medium,3.4,13.5,No,Tuesday,161.81,Delayed
5.4,Sunny,Medium,Medium,4.2,28.2,Yes,Saturday,173.02,On Time
12.4,Sunny,High,Medium,1.7,42.1,Yes,Wednesday,720.08,Delayed
17.5,Sunny,Medium,Medium,3.2,33.7,No,Friday,2379.44,Delayed
18.7,Sunny,Medium,Small,3.4,35.4,No,Sunday,2076.99,Delayed
16.3,Sunny,Low,Small,4.5,32.8,No,Tuesday,1777.14,On Time
5.7,Sunny,Medium,Small,4.9,14.7,No,Saturday,258.22,On Time
21.8,Sunny,Low,Small,2.5,7.7,No,Thursday,846.97,On Time
7.9,Sunny,High,Small,2.9,8.0,No,Thursday,2298.6,On Time
9.9,Rainy,Low,Medium,1.4,20.7,Yes,Friday,1791.03,Delayed
14.4,Sunny,Medium,Medium,1.9,22.9,Yes,Monday,2468.27,On Time
21.6,Rainy,Low,Small,4.7,20.5,No,Saturday,1273.1,On Time
16.6,Sunny,High,Small,4.1,5.6,No,Saturday,437.92,On Time
17.8,Sunny,Medium,Small,1.8,7.5,Yes,Saturday,1865.2,Delayed
6.2,Sunny,Medium,Medium,4.4,6.3,Yes,Sunday,2065.02,On Time
9.5,Cloudy,Medium,Medium,4.0,25.7,No,Saturday,2165.54,Delayed
4.3,Rainy,Medium,Small,2.9,37.2,No,Wednesday,1157.29,On Time
18.7,Cloudy,High,Small,1.4,14.8,Yes,Sunday,1582.25,Delayed
23.8,Cloudy,High,Large,4.6,13.8,No,Thursday,1015.91,Delayed
18.6,Sunny,Low,Large,3.1,33.2,No,Saturday,172.03,Delayed
4.0,Sunny,Low,Small,3.9,40.6,No,Wednesday,2090.38,On Time
17.6,Stormy,Medium,Small,3.1,39.1,Yes,Tuesday,2329.84,Delayed
11.4,Stormy,Medium,Medium,2.1,12.9,No,Saturday,328.64,Delayed
3.2,Cloudy,Medium,Medium,1.9,7.1,No,Sunday,289.52,On Time
25.0,Rainy,High,Small,4.9,27.1,No,Monday,1826.98,Delayed
18.4,Rainy,Low,Small,3.3,44.4,Yes,Monday,2148.89,Delayed
15.9,Sunny,Low,Small,3.8,36.0,Yes,Saturday,894.02,On Time
22.0,Rainy,Medium,Medium,4.2,14.9,No,Thursday,2222.57,Delayed
8.8,Sunny,Low,Medium,2.6,29.7,No,Monday,615.08,On Time
17.0,Cloudy,High,Small,3.7,36.1,Yes,Monday,284.99,Delayed
12.2,Rainy,High,Medium,3.7,8.7,Yes,Friday,1938.78,Delayed
4.0,Cloudy,High,Medium,3.3,22.8,No,Thursday,1960.63,On Time
14.0,Sunny,Medium,Small,1.4,15.1,No,Friday,1945.22,On Time
16.2,Rainy,Low,Medium,1.1,40.3,No,Sunday,636.86,Delayed
12.4,Sunny,Low,Small,4.1,24.5,No,Friday,411.01,On Time
4.0,Rainy,Medium,Medium,4.7,41.8,No,Friday,2299.02,On Time
2.8,Sunny,High,Small,4.2,31.5,No,Friday,2023.69,Delayed
17.0,Sunny,High,Medium,3.1,30.5,No,Tuesday,1862.83,Delayed
21.1,Sunny,High,Small,4.2,14.8,Yes,Wednesday,982.14,On Time
23.2,Cloudy,Low,Large,4.9,22.7,No,Wednesday,2322.58,Delayed
10.3,Stormy,Medium,Small,1.9,10.1,No,Saturday,2073.44,Delayed
23.5,Rainy,High,Large,2.8,21.1,No,Friday,611.97,Delayed
20.7,Sunny,Low,Small,2.7,44.6,Yes,Friday,624.76,Delayed
11.2,Sunny,Medium,Small,3.2,38.4,No,Tuesday,813.73,On Time
10.8,Sunny,High,Small,4.7,6.8,No,Monday,651.73,Delayed
9.0,Sunny,Low,Large,2.6,25.9,Yes,Friday,698.44,Delayed
2.7,Sunny,Low,Large,2.8,43.8,No,Monday,653.94,On Time
1.2,Rainy,Medium,Large,2.9,10.8,Yes,Wednesday,739.63,On Time
6.9,Cloudy,Low,Small,1.3,20.7,No,Sunday,2128.44,On Time
7.1,Cloudy,Low,Medium,2.9,20.0,No,Friday,1038.48,On Time
18.5,Sunny,High,Small,4.9,15.2,No,Thursday,707.58,On Time
4.8,Cloudy,Low,Small,1.8,28.0,No,Wednesday,1742.15,Delayed
17.6,Sunny,High,Medium,2.6,39.4,Yes,Sunday,1560.11,Delayed
18.5,Sunny,Low,Small,1.6,23.7,No,Thursday,234.17,On Time
12.0,Rainy,Low,Small,4.8,43.0,No,Saturday,290.48,On Time
3.8,Sunny,High,Small,4.1,9.7,No,Friday,1976.75,On Time
18.3,Sunny,Medium,Small,4.0,5.9,Yes,Saturday,1965.38,Delayed
22.9,Sunny,Medium,Medium,1.2,6.5,Yes,Saturday,707.6,Delayed
9.8,Cloudy,Medium,Medium,3.7,30.1,No,Wednesday,464.75,On Time
19.2,Cloudy,Medium,Small,3.4,29.0,No,Thursday,1489.84,On Time
18.8,Sunny,Low,Medium,3.4,14.4,Yes,Saturday,1203.13,Delayed
2.3,Rainy,Medium,Small,3.5,22.4,No,Sunday,2090.08,On Time
2.3,Rainy,High,Small,1.1,40.0,No,Sunday,1443.44,Delayed
17.2,Sunny,Medium,Medium,1.6,39.8,Yes,Wednesday,1362.04,On Time
20.9,Sunny,Medium,Medium,1.2,39.4,No,Saturday,2140.35,Delayed
23.1,Cloudy,Medium,Medium,2.1,37.9,Yes,Tuesday,819.12,Delayed
4.4,Sunny,Medium,Small,2.1,15.6,No,Friday,907.76,On Time
15.0,Sunny,High,Large,3.5,42.3,No,Friday,1848.73,On Time
7.8,Stormy,High,Large,3.3,20.3,No,Wednesday,2351.67,Delayed
6.3,Sunny,High,Large,2.1,21.9,No,Sunday,328.23,On Time
18.7,Rainy,Medium,Small,3.4,14.1,No,Saturday,980.43,On Time
10.9,Sunny,High,Medium,3.9,24.8,No,Wednesday,1724.3,On Time
11.5,Sunny,Medium,Medium,1.8,9.5,No,Saturday,2325.13,On Time
21.3,Stormy,High,Small,3.7,23.4,Yes,Monday,679.16,Delayed
6.7,Cloudy,High,Small,3.9,37.8,No,Thursday,1786.29,On Time
13.7,Sunny,Medium,Large,4.9,14.1,No,Friday,1101.42,On Time
20.9,Sunny,Medium,Small,3.4,39.3,No,Saturday,122.2,Delayed
4.2,Sunny,Low,Large,2.3,11.7,No,Wednesday,1167.96,On Time
15.3,Cloudy,Low,Medium,2.6,6.7,No,Monday,1322.95,On Time
21.1,Cloudy,High,Small,2.5,12.1,Yes,Tuesday,1010.72,Delayed
19.3,Sunny,Low,Small,4.7,37.1,No,Tuesday,1775.74,On Time
22.2,Sunny,Medium,Medium,1.6,8.2,No,Monday,2272.41,On Time
1.8,Cloudy,High,Medium,2.0,14.8,No,Saturday,2157.03,On Time
17.6,Cloudy,Low,Small,2.6,31.5,No,Tuesday,893.47,On Time
5.9,Sunny,Medium,Small,4.6,33.9,No,Saturday,931.59,On Time
14.4,Sunny,Medium,Medium,1.8,37.8,No,Sunday,1674.49,Delayed
19.6,Sunny,High,Medium,2.1,16.6,No,Sunday,1880.57,Delayed
11.1,Sunny,Low,Small,5.0,12.4,No,Thursday,1295.88,On Time
17.9,Sunny,Low,Medium,2.2,18.4,No,Sunday,2218.32,Delayed
21.2,Sunny,Medium,Small,3.7,41.4,Yes,Friday,2323.71,Delayed
23.7,Cloudy,Medium,Small,1.1,16.0,Yes,Tuesday,2284.36,Delayed
14.1,Cloudy,Low,Small,4.0,14.4,Yes,Wednesday,1182.32,On Time
8.6,Sunny,Low,Large,2.5,38.7,Yes,Saturday,501.19,Delayed
10.4,Sunny,High,Medium,3.0,30.0,No,Thursday,716.77,On Time
21.8,Sunny,Low,Large,2.0,37.4,Yes,Saturday,2073.67,Delayed
6.8,Sunny,Low,Small,2.1,25.9,No,Tuesday,387.57,On Time
22.2,Cloudy,Low,Small,3.4,25.0,No,Saturday,1226.13,Delayed
2.4,Sunny,High,Medium,2.0,9.8,No,Thursday,1998.51,On Time
24.3,Sunny,Medium,Large,1.6,21.5,Yes,Saturday,1106.77,Delayed
3.9,Sunny,Low,Small,4.9,5.6,Yes,Saturday,237.4,On Time
22.2,Sunny,Low,Small,3.2,16.2,No,Wednesday,1506.31,On Time
14.0,Sunny,Medium,Small,4.3,15.5,No,Saturday,1375.12,On Time
14.5,Sunny,Low,Small,3.5,27.4,Yes,Sunday,1102.04,On Time
24.5,Rainy,Medium,Small,1.4,31.7,No,Friday,906.13,Delayed
23.8,Sunny,Medium,Small,3.4,44.3,No,Saturday,1519.81,Delayed
20.2,Cloudy,Low,Small,4.5,37.9,No,Thursday,2099.16,On Time
16.6,Sunny,Low,Small,4.3,28.0,No,Friday,2099.19,On Time
17.3,Sunny,Medium,Small,1.5,27.9,Yes,Sunday,1541.2,Delayed
4.2,Cloudy,Low,Large,4.6,6.2,No,Monday,2175.2,On Time
12.2,Sunny,Low,Large,1.5,8.2,No,Thursday,1192.86,On Time
11.3,Sunny,Medium,Medium,2.2,41.6,Yes,Friday,1645.48,Delayed
3.4,Sunny,Low,Small,4.2,13.2,No,Sunday,1965.29,On Time
1.3,Sunny,High,Small,3.1,32.2,Yes,Friday,1010.05,On Time
1.4,Sunny,Medium,Medium,4.8,29.2,No,Wednesday,655.33,On Time
18.7,Sunny,Medium,Small,3.9,20.3,No,Wednesday,1372.78,On Time
11.7,Stormy,High,Small,2.7,20.7,Yes,Friday,2379.66,Delayed
12.8,Sunny,High,Medium,1.9,36.6,No,Thursday,1161.43,Delayed
7.1,Sunny,Low,Medium,1.4,32.8,No,Saturday,1178.28,On Time
14.0,Sunny,Low,Medium,4.5,30.0,Yes,Sunday,827.91,On Time
4.1,Cloudy,Medium,Large,2.9,13.5,No,Monday,1730.13,On Time
