Current_CGPA,Attendance_Percentage,Weekly_Self_Study_Hours,Coding_Practice_Hours_Per_Week,Previous_Semester_SPI,Internal_Assessment_Marks,Practical_Assignment_Submission,Target_Grade,Additional_Study_Hours_Required
9.31,50.2,20.4,8.3,7.57,16.7,98.6,C,0.0
9.05,100.0,34.9,13.2,8.99,12.4,36.4,B+,0.0
8.28,90.1,1.0,17.7,9.16,5.1,64.9,A,27.0
7.75,89.3,39.7,18.5,9.23,2.2,61.2,B,0.0
5.43,75.5,46.0,31.1,6.69,7.1,68.8,O,52.3
7.04,65.0,22.0,13.3,8.97,1.7,3.8,O,58.5
6.86,57.6,24.6,31.8,6.06,18.6,29.2,B+,8.2
6.3,64.2,46.8,15.4,8.69,23.9,90.9,A+,16.2
8.62,68.8,42.7,26.1,9.74,10.2,42.4,B,0.0
7.48,87.8,15.8,32.6,5.07,11.6,96.1,B,0.0
5.41,77.0,17.8,31.8,7.2,24.5,21.4,A,29.0
6.1,53.9,37.3,2.0,8.24,6.7,99.7,B,0.0
8.42,50.9,31.0,7.2,8.51,3.6,69.8,O,56.9
5.38,55.1,8.9,16.7,5.88,15.0,77.6,A,44.0
9.26,70.5,17.0,15.1,9.86,19.4,39.7,B,0.0
7.48,96.7,49.5,22.4,8.08,18.0,90.7,B,0.0
7.4,81.9,37.8,33.1,5.82,21.4,54.5,A,12.4
7.96,90.1,54.2,3.9,5.1,1.7,68.1,A+,39.6
9.12,73.3,42.2,15.8,8.92,12.8,9.5,A+,21.1
6.74,68.1,51.8,6.7,5.4,7.2,63.2,A,30.5
8.39,55.4,11.9,31.3,5.71,22.8,87.9,B+,15.0
7.83,93.8,42.4,33.8,7.87,26.2,17.8,O,36.3
6.34,89.2,1.1,16.8,8.02,8.4,73.8,A,36.7
9.39,58.4,36.9,3.6,8.43,2.9,2.5,B,0.0
8.99,75.6,25.8,27.5,6.97,7.6,92.6,A,12.8
8.29,74.4,19.1,24.4,8.87,3.1,98.3,A+,32.7
9.25,81.3,47.4,12.4,9.87,9.7,35.4,C,0.0
9.34,97.3,47.0,31.1,6.36,16.1,10.7,A+,18.6
8.54,79.0,1.2,34.2,8.52,29.2,65.9,B+,1.0
9.19,77.0,33.5,19.5,9.64,12.0,3.0,A+,30.4
8.49,52.5,20.2,19.8,8.43,6.6,48.2,A,27.9
8.4,53.1,22.9,10.4,8.41,5.0,27.2,A,27.4
8.09,59.4,45.8,20.5,6.12,5.2,47.3,A,18.1
8.76,51.6,17.0,15.4,7.68,5.8,1.8,A,29.4
5.79,87.2,51.9,10.6,7.81,22.9,5.2,A+,35.1
9.4,86.2,9.9,2.4,8.5,1.8,1.6,A,26.4
9.36,56.8,36.4,8.8,9.98,29.9,61.9,A,7.2
5.15,91.8,37.0,6.9,5.17,15.7,56.0,A+,56.1
9.13,57.7,13.9,19.0,5.33,16.3,23.3,C,0.0
5.64,65.1,17.9,21.1,5.39,10.7,64.7,B,7.9
6.68,62.4,45.9,21.3,8.71,20.7,88.4,B,0.0
8.72,68.6,41.9,13.6,5.68,14.1,27.7,B+,10.1
5.8,62.7,18.1,14.7,8.11,9.9,83.2,A+,51.0
9.09,74.4,29.4,29.2,6.62,8.0,66.3,B+,0.0
9.16,70.4,3.4,16.7,7.29,27.8,3.4,B,0.0
7.54,99.3,11.5,34.6,6.08,8.7,37.5,O,54.1
5.03,52.8,26.7,15.4,9.33,13.1,50.8,A,31.3
6.44,57.1,4.7,22.7,7.93,10.5,73.2,A,38.6
8.08,52.6,46.4,1.8,9.72,2.6,28.7,A+,45.1
9.91,81.3,39.5,22.9,7.87,5.6,98.3,A,1.1
8.16,52.7,51.9,29.8,5.62,5.7,68.5,C,0.0
6.3,91.8,38.1,33.0,5.85,20.8,37.3,B+,5.5
8.17,75.6,51.7,34.9,9.95,12.2,9.7,A+,14.9
7.7,76.4,30.5,9.9,8.63,23.5,18.1,B+,0.6
8.9,78.1,33.0,20.1,5.25,21.3,48.8,A+,36.2
5.53,58.5,53.7,15.8,8.52,5.8,49.5,B+,10.3
8.81,59.9,35.3,19.7,7.06,16.9,76.8,B,0.0
7.71,65.9,1.7,5.5,6.54,22.3,72.6,B+,22.4
9.81,79.7,39.8,30.0,5.77,19.0,20.1,B+,0.0
6.71,60.5,49.8,31.8,9.2,18.0,59.5,A,0.1
8.16,55.8,43.8,15.7,5.32,22.2,2.1,A,28.5
9.66,98.5,32.1,9.8,6.45,1.7,39.9,B+,11.1
5.51,51.1,36.9,4.9,6.53,21.9,76.4,B,10.8
9.69,90.1,54.5,23.9,5.8,8.2,40.0,B+,0.0
8.44,89.4,5.0,10.9,7.54,17.2,83.6,C,0.0
5.34,64.9,36.7,31.8,5.06,7.3,97.6,B,0.0
6.5,56.8,15.6,23.5,6.5,25.2,60.7,B+,11.5
8.54,57.3,35.2,22.6,9.67,14.4,14.5,B,0.0
5.34,84.9,33.4,19.6,6.55,19.3,38.0,A+,38.3
7.91,82.1,8.4,1.6,6.8,23.8,0.9,A,38.4
6.73,89.1,11.4,32.6,7.37,26.9,60.3,B+,2.4
8.1,96.9,34.2,22.0,7.81,22.0,82.2,A,6.6
5.23,84.6,7.1,34.8,9.04,4.5,63.0,B,0.0
9.36,57.8,14.6,18.8,5.95,25.6,78.6,O,44.7
9.87,62.2,45.9,24.9,9.36,18.6,80.0,A+,13.7
9.84,92.1,18.0,2.0,8.79,18.3,85.1,B,0.0
8.75,60.5,26.8,22.1,8.61,27.6,26.7,O,38.1
5.65,53.6,51.8,26.8,5.43,7.5,87.1,A+,37.5
8.79,85.2,12.5,27.2,5.11,7.2,65.4,A,32.6
5.12,70.1,21.4,27.0,7.97,15.4,29.0,B+,19.1
5.11,96.0,33.4,7.9,9.32,22.5,98.7,B+,0.0
6.62,82.5,41.5,34.1,7.92,13.4,95.0,C,0.0
7.44,54.5,49.6,34.8,6.07,19.0,57.4,A+,31.2
8.85,97.4,50.4,2.6,5.45,13.6,84.3,B,0.0
8.42,62.9,42.7,32.8,8.5,18.3,26.1,A+,19.2
7.23,66.9,12.6,10.1,8.61,24.7,41.6,A+,48.0
6.37,70.1,1.4,24.1,5.86,5.4,18.4,A,48.3
9.99,52.6,21.1,11.8,5.14,20.9,52.0,O,60.2
7.13,74.8,7.8,33.9,7.04,23.6,49.6,A,20.7
7.26,56.2,39.1,3.6,7.91,13.4,21.3,A,32.7
5.82,70.0,36.4,17.4,8.53,9.7,67.3,A+,45.8
8.97,67.5,2.4,15.0,9.05,0.4,11.8,B,3.9
8.47,88.6,46.0,11.4,8.05,23.9,6.2,A,8.8
6.1,90.2,13.7,22.6,5.55,9.8,38.5,C,0.0
5.41,57.7,23.8,4.6,8.41,10.7,41.0,B,18.9
8.4,68.3,36.7,25.1,9.92,10.1,32.0,A+,33.6
8.27,68.7,23.6,34.3,9.53,15.0,25.8,A,9.0
6.37,57.6,24.3,28.2,9.36,21.1,33.9,B+,3.2
9.75,89.9,3.6,30.1,6.51,23.2,16.3,B,0.0
5.76,85.4,22.1,12.6,8.75,11.8,40.3,B,1.3
7.16,59.5,42.1,11.4,9.26,19.9,90.5,B+,0.0
9.72,68.3,50.3,18.1,8.39,21.6,22.4,O,31.2
7.1,55.3,22.7,1.6,6.25,8.9,68.4,A,44.7
8.19,81.4,23.3,33.1,9.77,2.9,14.2,B,0.0
6.99,56.1,38.6,5.0,7.25,26.8,35.4,B+,3.8
6.37,99.3,51.9,31.6,5.65,20.3,32.1,B,0.0
9.92,89.0,14.7,2.9,5.55,19.4,93.7,B+,6.4
7.05,69.5,24.2,28.8,8.24,1.8,42.8,O,51.0
9.47,78.9,43.8,5.3,7.19,24.5,69.0,C,0.0
6.15,95.6,33.5,1.3,5.47,17.0,60.2,B,1.4
6.07,77.7,6.1,25.2,8.7,25.4,14.1,A+,38.4
5.16,58.7,34.5,9.8,9.0,29.2,94.0,A+,34.6
8.26,68.9,10.3,25.0,8.63,28.7,34.6,A,7.0
6.84,92.2,28.1,19.4,6.01,25.7,4.5,B+,8.8
9.32,82.2,29.1,3.8,8.45,0.3,30.0,A,27.2
7.37,82.5,48.2,32.6,5.05,26.6,33.6,A+,32.8
9.84,93.3,25.4,15.8,6.53,2.3,9.3,A,25.2
5.93,94.7,15.4,25.7,6.99,25.5,62.0,A,20.8
9.34,96.0,12.7,17.5,9.18,8.4,34.7,A,13.7
8.88,54.7,48.1,21.2,6.95,18.3,62.9,B+,0.0
8.85,77.2,9.4,10.6,5.06,1.1,0.7,B,14.5
9.22,87.0,23.4,7.0,6.76,23.1,98.2,B+,1.2
8.81,87.8,10.3,19.0,7.49,3.4,17.1,B+,14.2
8.13,80.3,42.5,15.4,9.75,12.3,65.9,B+,2.3
5.66,58.3,26.1,13.7,9.71,24.5,71.6,B+,7.5
5.16,89.9,19.3,23.5,5.9,20.9,17.2,A,24.9
9.6,86.0,19.9,24.2,5.93,0.2,11.2,A,29.0
8.08,54.3,46.9,1.6,5.82,12.1,15.3,A,32.6
8.98,73.2,30.5,11.9,8.94,1.3,24.7,B,0.0
7.41,58.7,39.5,14.4,5.03,20.2,16.8,B,0.0
5.59,66.9,49.3,3.4,5.64,29.1,67.4,B+,8.4
5.63,50.9,49.6,8.3,7.69,19.7,42.1,B,0.0
8.43,70.0,18.1,1.8,6.24,6.7,53.8,B,16.0
7.15,77.5,52.4,34.9,5.46,10.7,4.7,B,0.0
6.0,81.0,1.4,25.8,6.8,29.3,86.1,A+,47.2
7.46,83.2,20.7,3.1,6.37,6.7,17.1,B+,19.7
5.32,91.8,49.3,0.7,7.56,16.8,36.0,B+,6.5
7.91,60.8,15.1,25.2,9.9,12.0,7.2,B+,15.2
6.34,56.0,15.0,15.4,5.62,23.0,13.7,A+,55.5
8.99,92.6,16.6,27.5,6.86,26.0,66.6,B+,0.0
6.55,57.8,33.7,32.3,9.66,10.2,69.3,A,19.2
7.28,98.7,24.1,21.0,9.38,19.8,67.7,B,0.0
5.06,92.1,40.0,6.5,6.97,16.5,55.2,B+,18.2
5.36,75.0,49.2,27.4,8.49,8.4,95.3,A+,32.5
6.96,99.1,37.1,33.5,5.44,8.2,50.7,A+,27.1
7.4,54.9,11.2,20.3,8.56,16.2,44.9,B+,19.7
8.0,65.2,51.3,23.9,9.86,4.6,24.8,B+,0.0
6.46,81.9,14.5,11.8,7.69,24.3,9.9,B+,11.3
8.47,67.5,8.2,13.4,7.49,2.1,54.8,B+,21.2
9.3,96.4,4.9,25.7,5.94,2.8,31.5,B,0.0
8.9,53.3,31.0,32.5,8.17,10.3,52.4,A+,33.3
5.2,77.5,6.3,22.0,7.95,3.5,20.6,B+,21.2
7.4,79.5,7.6,27.6,8.26,14.3,83.8,B,6.6
5.52,82.6,16.5,6.0,5.13,12.0,100.0,B,12.8
6.21,62.8,15.5,7.4,7.74,21.7,32.2,A+,54.8
9.93,68.2,33.2,18.6,7.97,28.6,84.2,A+,24.9
5.71,92.2,44.9,6.2,6.04,22.6,87.3,A+,38.3
7.49,59.7,41.9,22.2,6.04,5.4,99.6,B,0.0
8.09,91.3,14.4,10.2,6.38,28.1,34.3,A,23.7
8.51,78.1,13.5,27.7,8.56,11.8,75.6,A,13.3
7.8,88.1,53.1,28.3,8.03,14.2,22.9,O,35.8
5.05,85.7,0.5,16.2,9.23,12.6,62.5,O,66.9
6.63,60.4,48.4,6.3,6.48,8.4,70.5,B+,12.6
7.59,78.4,11.0,22.6,9.56,26.9,74.1,B+,0.0
5.44,93.4,52.1,34.7,8.72,10.0,20.7,B+,0.0
6.75,71.6,18.8,21.8,6.98,17.4,84.9,A+,37.9
5.17,98.3,24.2,1.3,5.48,7.2,42.1,A,44.7
5.39,72.6,38.9,0.6,6.28,23.9,21.6,B,9.1
6.98,57.1,32.3,11.2,9.78,23.2,54.3,A+,35.5
5.66,69.5,17.5,6.9,6.55,8.9,86.3,B,8.4
7.84,97.6,30.5,28.5,6.65,20.4,96.7,A+,24.3
8.45,66.0,40.2,29.6,5.95,21.1,74.8,A+,26.9
9.0,93.4,2.3,9.1,9.03,16.9,0.6,A,31.1
6.0,94.1,0.6,11.4,6.38,18.0,13.5,B,9.6
5.84,67.5,25.2,8.3,6.65,17.2,7.6,A,36.6
5.52,54.2,7.3,31.8,7.07,2.5,10.1,B+,24.3
8.18,86.2,36.5,17.6,7.17,20.1,38.3,B+,0.0
8.53,65.6,11.8,23.0,7.06,14.1,33.8,A+,43.3
5.16,89.1,23.8,14.5,7.52,13.2,11.4,A+,52.0
9.68,72.1,10.9,22.1,9.07,25.8,88.2,B,0.0
5.26,74.3,30.2,13.5,9.1,0.7,61.5,A+,47.7
7.71,88.9,6.4,11.9,8.99,7.5,79.6,B+,8.6
8.55,69.1,1.3,22.2,5.51,3.6,37.2,C,0.0
9.35,72.2,2.8,20.7,9.0,1.1,41.0,A+,43.1
8.57,68.8,52.5,10.3,5.6,8.3,31.8,A,22.4
9.01,68.4,7.8,5.2,5.62,29.7,43.8,A+,41.7
6.7,76.3,39.0,12.9,9.74,8.1,61.0,A+,34.2
9.07,90.4,3.7,14.5,9.1,19.9,49.3,A+,30.5
5.4,68.1,5.9,22.0,7.76,3.5,83.8,B+,26.9
9.47,76.2,28.0,32.0,9.37,18.1,90.0,B+,0.0
7.74,83.5,25.6,1.3,9.95,29.5,47.0,B+,0.9
9.09,63.5,52.3,8.5,8.05,8.8,24.0,B,0.0
7.26,63.9,52.0,6.8,8.06,25.4,94.5,A+,32.4
8.22,96.7,42.9,17.6,8.77,29.9,73.5,A,0.0
7.63,86.2,33.1,15.0,6.16,17.7,64.0,A,21.8
8.66,78.9,25.0,25.5,5.84,9.3,74.5,A+,32.6
5.41,82.4,19.6,8.5,8.8,20.2,7.6,A+,42.1
5.3,51.5,52.1,20.8,6.72,25.3,6.8,A,20.6
6.24,80.9,33.2,30.9,5.68,5.1,15.3,B,0.0
5.8,75.5,31.8,31.9,6.57,13.6,14.7,C,0.0
9.36,77.3,12.8,33.6,6.79,9.6,42.1,A+,31.9
6.1,68.0,2.6,27.1,9.83,8.5,15.7,B,0.0
9.88,54.1,52.0,31.7,8.49,25.8,85.5,B,0.0
6.68,59.7,17.3,8.2,7.65,12.6,57.8,A,37.3
5.91,97.5,24.3,6.9,9.84,10.2,36.8,A+,40.3
8.95,70.4,6.3,0.2,9.52,18.1,7.0,C,0.0
8.29,73.3,46.0,24.7,7.56,6.6,59.1,B+,0.0
7.49,52.6,1.5,32.8,9.53,6.9,11.7,C,0.0
7.78,51.9,45.9,6.5,7.02,15.6,74.3,A,22.4
8.6,85.9,7.7,22.3,6.15,12.3,80.3,A,26.8
6.14,76.9,48.8,26.1,6.16,8.8,54.4,A+,31.7
9.98,75.4,40.1,32.5,8.31,1.6,15.0,C,0.0
9.87,62.2,9.1,22.6,7.51,15.6,78.7,A+,34.8
8.25,87.2,31.1,34.0,8.29,24.5,30.8,O,36.3
6.0,58.4,17.2,12.1,8.43,25.5,22.3,A,24.6
8.4,59.5,9.8,12.2,5.11,7.1,47.1,A,39.2
5.36,73.0,47.3,19.0,5.27,18.0,92.3,A+,46.8
5.15,64.3,22.2,13.4,7.66,25.7,29.7,B+,20.2
6.29,62.4,21.9,0.0,5.96,12.3,90.6,A,49.2
7.31,82.3,9.3,25.6,8.16,28.0,5.4,A,18.6
9.34,82.5,21.1,26.3,7.76,27.1,8.4,O,38.4
8.64,91.2,47.9,26.1,7.93,6.2,69.9,B+,0.0
8.71,70.9,20.0,12.1,6.51,7.8,19.1,A+,49.5
7.13,53.7,52.3,18.3,8.2,5.4,31.7,A+,34.8
6.73,63.7,52.0,12.6,9.15,5.9,13.6,B+,1.3
6.86,99.0,8.0,0.6,9.99,27.2,33.2,A,32.3
9.94,79.8,9.8,19.7,9.19,27.9,28.0,A+,36.5
5.2,85.5,47.4,4.3,7.79,1.6,73.6,B+,10.3
9.34,50.4,21.6,2.8,5.97,17.8,70.2,A+,52.3
7.89,75.9,0.2,26.4,8.41,16.9,95.5,A+,35.7
7.19,51.9,15.1,0.3,9.69,11.7,72.4,B+,19.5
8.63,78.5,32.9,33.6,6.06,19.0,69.5,B+,0.0
7.43,96.0,44.0,18.0,6.28,28.4,69.4,B+,0.0
9.37,98.4,7.3,34.4,5.75,5.1,88.3,A,18.8
9.5,77.0,6.1,2.0,8.68,3.6,29.6,A,28.2
7.11,72.9,50.7,20.4,7.03,1.0,30.0,B+,8.6
6.38,97.3,41.3,12.2,5.31,10.9,74.1,A+,50.5
7.96,83.7,32.4,29.5,9.37,10.1,22.9,A+,23.2
9.56,53.2,42.3,12.6,7.79,12.9,91.2,B+,0.0
6.05,73.3,23.6,9.1,6.66,15.1,53.5,A,35.5
8.11,62.0,41.7,30.0,6.72,22.7,30.0,B+,0.0
8.16,73.5,20.4,13.1,6.45,11.8,77.6,A+,45.1
8.67,72.8,13.4,0.6,7.28,9.9,31.2,A,40.5
5.66,79.1,40.1,13.7,6.69,24.8,96.3,B,0.0
8.58,67.8,23.1,22.9,7.74,25.5,98.3,A,13.9
9.55,58.2,54.0,8.9,8.87,7.0,66.7,B+,0.0
5.9,75.2,19.2,15.1,8.37,9.4,11.4,A+,52.7
6.19,91.5,50.7,2.0,6.47,24.8,26.3,A+,33.6
9.86,83.2,51.3,20.6,7.64,2.4,51.5,O,35.8
5.9,66.9,13.3,26.5,9.2,9.8,85.1,A,30.1
9.27,96.8,43.9,14.5,5.34,13.5,18.5,C,0.0
7.46,95.6,23.8,14.7,5.39,5.6,10.4,B,8.3
6.24,60.5,50.5,3.1,7.78,5.4,7.4,B+,17.4
9.35,52.0,24.8,7.1,8.2,12.7,50.7,B,1.2
7.23,87.1,40.9,5.4,6.06,22.6,88.5,B+,2.8
7.57,91.4,25.7,16.9,8.73,25.2,4.2,A,9.2
6.8,98.4,12.5,18.5,8.23,29.4,21.2,A+,36.2
7.96,94.5,11.0,33.2,9.62,2.2,69.3,B+,3.4
5.82,80.0,23.4,2.6,5.84,6.5,82.6,A+,60.8
6.96,76.5,41.6,21.0,8.76,22.7,80.7,A,5.0
9.85,51.4,33.3,18.4,5.42,16.2,78.5,B,0.0
6.29,62.3,37.9,18.1,7.83,9.8,13.0,A+,41.6
8.28,73.0,15.5,30.6,7.76,6.2,39.7,A+,39.3
6.63,81.4,26.5,7.2,6.94,8.4,98.5,A+,49.1
8.87,77.9,2.4,1.4,9.22,12.9,98.9,B+,21.2
5.65,87.1,45.0,23.5,5.02,5.3,60.2,A+,40.7
9.85,64.0,54.4,12.1,7.6,28.9,70.9,A,0.0
7.27,78.2,22.4,0.6,6.09,3.2,95.1,A,44.6
6.18,54.4,0.6,8.8,8.72,29.6,45.0,A,38.0
5.37,70.7,9.3,10.8,5.22,25.3,13.7,A+,61.3
5.85,87.5,35.9,21.6,9.16,12.7,66.9,C,0.0
7.6,84.7,33.7,6.0,9.19,22.2,96.0,A,20.1
6.69,99.5,43.3,14.5,9.16,20.1,69.7,B+,0.0
9.14,63.9,14.0,16.9,5.76,6.4,80.3,B+,20.6
7.15,74.9,42.0,16.1,8.15,10.2,42.3,A,22.0
6.24,66.5,37.8,34.1,5.07,15.4,9.6,A+,36.6
8.09,72.0,17.8,1.6,9.24,19.1,16.9,A,28.0
8.53,92.8,30.0,33.3,8.61,16.3,98.3,B+,0.0
5.84,84.2,8.1,20.4,7.66,14.2,49.3,A,30.9
5.84,94.1,24.9,27.9,8.65,13.3,1.2,O,55.6
5.18,60.2,48.5,15.1,5.47,14.9,95.5,O,59.6
8.68,93.7,23.2,15.9,7.64,13.0,49.8,A,20.6
8.32,53.0,46.2,30.8,6.46,16.2,83.6,A+,30.5
7.37,94.4,32.5,31.4,9.86,26.6,54.8,B,0.0
9.22,66.5,10.6,8.4,9.29,19.0,10.2,A+,40.8
9.03,65.7,32.0,7.0,8.67,21.7,61.6,A,16.0
7.93,75.6,27.8,17.4,9.67,17.9,99.7,B+,0.0
9.34,97.0,21.9,31.5,6.73,19.3,3.5,B,0.0
6.03,52.4,6.6,11.3,9.5,17.4,84.2,A,40.8
5.56,67.6,22.9,22.8,6.63,0.8,23.5,A+,51.8
6.35,92.8,4.0,24.8,8.66,30.0,39.4,A+,34.0
5.29,69.8,5.4,27.3,8.68,1.0,37.3,A,43.9
7.66,60.0,22.9,19.7,5.09,11.9,89.9,A,28.5
9.68,71.2,16.8,14.1,6.81,3.2,50.4,A,29.2
5.2,69.3,50.9,33.8,5.1,2.9,44.7,A+,38.1
5.61,95.8,20.7,21.4,9.99,23.8,81.8,B,0.0
7.26,88.1,41.7,25.5,5.61,12.8,4.9,O,50.9
9.67,75.3,29.2,12.1,7.71,24.0,8.6,A,19.8
6.58,99.4,38.7,23.4,8.95,8.2,2.2,C,0.0
7.54,73.3,14.3,9.0,6.01,7.7,68.8,B+,17.4
5.21,52.9,51.8,8.6,7.43,7.5,52.6,A,32.6
5.74,63.1,29.2,25.0,8.04,18.5,87.6,A+,33.9
9.93,71.8,45.7,18.2,5.8,24.4,49.9,C,0.0
9.83,57.8,20.1,23.9,8.89,13.6,22.2,O,45.4
5.02,97.4,5.5,9.4,6.5,11.4,80.5,B+,30.6
9.76,88.3,37.1,21.0,6.06,29.2,29.4,B,0.0
8.2,63.4,0.4,15.5,7.79,3.5,93.6,O,72.8
9.34,79.5,26.1,20.9,7.05,14.6,25.0,B+,4.9
7.27,86.1,10.6,10.2,9.6,12.3,16.8,C,0.0
7.58,97.1,34.5,25.0,9.4,2.9,49.3,B+,0.0
7.44,94.1,53.9,28.2,7.42,8.0,5.1,A,16.2
8.33,75.8,25.5,9.1,6.8,0.9,3.6,B,9.8
5.7,88.7,45.0,10.5,6.63,26.3,49.6,B+,5.0
5.15,78.1,27.9,23.1,6.34,18.2,21.5,B+,18.5
6.54,77.6,27.3,24.3,7.72,24.5,0.9,B+,8.1
8.52,55.7,51.2,24.6,9.02,15.6,29.6,O,42.1
6.01,56.3,48.9,23.9,6.55,18.0,47.7,A+,34.9
8.37,76.5,43.2,13.7,5.95,21.0,39.4,O,44.3
9.85,63.4,16.3,13.8,7.38,27.2,13.5,A+,33.1
5.47,51.1,30.0,8.9,5.35,2.8,58.0,O,80.5
8.36,86.1,12.3,5.5,8.51,9.9,71.0,A,21.2
7.22,51.6,24.4,24.2,7.59,21.3,67.6,A+,24.8
9.34,79.8,26.6,3.3,7.48,28.8,39.4,B,0.0
5.89,77.0,45.7,32.8,6.5,29.4,13.8,B+,0.0
8.46,98.4,49.3,28.9,9.52,19.1,49.9,B+,0.0
9.19,74.2,22.8,30.0,5.45,5.8,89.0,A,14.4
9.72,53.2,1.0,31.7,9.35,3.6,46.9,A+,30.2
8.42,77.6,47.4,14.3,6.88,28.4,19.6,A,8.2
7.49,92.1,9.6,29.6,9.4,13.0,9.3,B+,6.1
8.09,99.8,34.2,5.5,8.64,5.8,94.4,B+,1.8
9.34,71.5,1.4,0.8,5.52,28.0,74.3,O,68.0
7.85,66.0,22.0,27.5,9.16,3.1,31.3,B+,3.1
5.15,95.3,54.2,2.6,8.41,21.9,29.5,B+,3.8
9.65,59.6,5.5,34.6,5.16,18.8,89.5,B+,8.2
8.45,80.8,23.3,23.6,5.67,2.6,17.8,A+,42.1
8.38,70.3,16.9,26.4,8.18,10.2,53.5,A,19.2
6.08,52.1,49.8,8.6,8.31,4.5,71.4,A,25.5
8.29,67.4,47.8,23.6,8.73,18.1,39.6,A,3.1
6.97,63.3,13.1,1.5,8.6,14.3,4.0,A,41.6
8.26,84.3,4.5,29.3,8.3,0.1,22.8,A+,44.5
5.53,97.4,34.5,5.9,8.83,29.3,90.2,A+,34.4
8.29,63.4,18.5,24.4,7.88,10.5,52.3,O,50.4
10.0,90.6,37.0,7.9,6.3,7.7,81.5,A+,31.5
5.24,52.8,1.8,2.4,9.56,6.7,55.6,A+,71.4
9.89,76.9,7.3,16.9,5.09,4.8,94.4,A+,40.0
7.03,53.5,37.8,5.9,6.83,30.0,90.9,A+,45.7
9.35,96.7,11.7,25.5,8.64,8.9,48.3,B+,0.7
8.91,88.3,47.2,8.3,7.14,12.2,31.8,B,0.0
7.84,82.9,3.2,12.0,5.12,26.1,60.2,A,37.9
8.69,91.2,11.9,19.9,5.33,19.3,67.5,A,16.1
9.39,82.4,54.9,10.0,8.24,11.1,49.8,B,0.0
7.02,98.4,23.8,13.2,9.82,26.9,82.2,B+,5.0
6.64,85.7,38.7,28.5,7.76,22.5,18.3,A+,31.7
8.34,96.2,10.0,6.3,7.53,6.8,33.4,B+,10.1
9.04,75.9,33.5,2.9,6.59,19.3,68.6,A,25.0
8.81,55.9,39.9,11.5,6.28,27.7,24.7,B+,10.1
8.99,76.4,17.3,14.9,5.1,14.9,44.0,C,0.0
7.18,56.3,45.6,19.0,6.36,22.0,96.4,A,11.0
9.09,79.6,33.2,13.0,7.25,29.1,62.6,B,0.0
5.6,74.1,21.4,27.6,5.99,20.7,94.9,A,33.6
7.72,81.1,30.7,1.4,5.44,3.1,72.2,A,37.0
5.03,50.5,31.7,15.1,8.59,7.3,72.5,A,28.2
6.62,59.7,9.1,13.4,9.47,17.9,59.2,B+,19.6
6.83,74.6,22.2,22.7,9.68,8.3,14.2,O,58.2
6.98,97.5,18.9,33.8,8.09,28.7,52.0,B+,0.0
8.48,69.2,22.0,17.9,5.26,12.2,25.3,B+,10.7
6.94,71.2,41.9,34.5,8.7,13.7,99.9,A,10.2
7.24,85.7,26.5,10.6,5.55,21.0,26.7,A+,41.7
6.19,80.2,51.7,1.1,8.35,15.7,23.1,A+,40.9
6.87,64.9,16.2,5.8,8.9,11.5,62.4,B+,25.7
6.14,70.5,22.9,13.8,8.63,2.3,51.1,B,0.0
5.37,60.9,43.3,11.1,9.76,17.9,2.1,A,28.7
8.02,98.3,30.0,3.4,8.69,26.0,13.0,B+,2.4
8.34,56.5,30.1,15.1,8.47,20.6,81.1,A+,31.0
8.1,68.6,2.9,11.8,6.31,11.4,48.4,A,41.1
7.32,51.3,21.9,4.3,9.62,3.8,14.6,A,33.9
6.9,61.1,14.9,10.4,5.9,24.5,46.5,B+,16.5
9.32,89.0,55.0,31.0,9.52,28.3,25.3,C,0.0
7.6,60.1,17.0,10.6,6.56,11.6,22.4,B,12.6
7.4,54.0,48.6,25.0,5.65,21.9,95.8,A+,27.4
5.13,73.7,37.2,21.4,9.13,12.3,36.2,B+,10.6
6.71,50.5,18.8,15.0,5.01,15.1,4.6,O,70.7
6.9,54.2,29.9,8.4,9.16,25.1,97.0,A+,31.6
6.99,90.4,46.2,12.9,6.31,2.5,79.5,A+,41.4
7.9,88.6,48.6,20.7,9.42,15.9,25.4,A,6.9
7.67,95.8,8.8,12.3,8.46,6.4,40.9,B+,14.9
8.04,92.7,18.7,7.5,8.33,10.2,86.2,A,26.2
8.82,84.2,18.4,4.1,6.83,19.3,35.7,B,0.0
9.06,52.6,2.3,30.8,5.3,0.8,56.7,A+,54.4
8.59,89.1,32.9,15.4,9.15,17.8,53.5,A,15.7
9.78,92.3,47.0,21.9,5.85,8.5,40.1,A,12.7
5.09,90.0,21.0,17.2,6.86,20.1,64.0,A+,44.3
5.98,75.4,40.7,30.5,8.0,4.2,47.3,C,0.0
5.04,61.6,34.5,19.1,7.41,22.1,2.1,A,36.1
8.24,92.3,20.7,16.8,5.99,19.4,81.4,B,0.0
9.49,86.4,7.8,32.4,5.7,29.1,11.3,A,23.5
6.22,99.0,39.0,25.2,5.62,27.3,46.4,A+,27.3
9.64,57.8,47.0,3.9,9.32,8.5,58.0,A+,26.3
5.3,61.3,37.7,6.2,5.16,0.8,70.6,B,15.3
9.67,60.6,1.0,27.5,9.89,19.7,41.1,O,47.4
6.76,89.6,11.9,29.3,5.99,18.1,73.6,C,0.0
5.51,59.3,3.8,19.1,5.55,0.8,13.1,A,51.8
